id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,Male,75,1,8,0,1-2 Year,No,2630,52,283,0
2,Female,68,1,3,1,1-2 Year,No,28913,152,279,0
3,Male,42,1,8,0,1-2 Year,Yes,68144,26,114,0
4,Female,26,1,28,0,< 1 Year,Yes,2630,157,268,0
5,Male,24,1,28,1,< 1 Year,No,28479,152,199,0
6,Male,25,1,21,1,1-2 Year,No,30282,124,259,0
7,Male,34,1,35,0,1-2 Year,Yes,25476,152,56,1
8,Male,49,1,34,1,1-2 Year,No,29222,124,60,0
9,Male,23,1,15,1,< 1 Year,No,27386,26,274,0
10,Female,23,1,6,1,< 1 Year,No,34186,151,172,0
11,Female,43,1,3,0,1-2 Year,Yes,13889,157,169,0
12,Female,76,1,45,1,1-2 Year,No,22279,30,148,0
13,Male,24,1,8,0,< 1 Year,No,30330,152,124,0
14,Male,21,1,13,0,< 1 Year,Yes,32172,160,294,0
15,Male,54,1,30,1,1-2 Year,No,31989,152,195,0
16,Female,22,1,49,0,< 1 Year,Yes,33907,152,214,0
17,Female,23,1,8,1,< 1 Year,No,50924,152,144,0
18,Female,39,1,46,1,1-2 Year,No,21467,11,200,0
19,Male,67,1,17,0,1-2 Year,Yes,27858,124,155,0
20,Female,31,1,50,1,< 1 Year,No,37608,152,14,0
21,Male,29,1,28,1,< 1 Year,No,57247,152,27,0
22,Female,26,1,28,0,< 1 Year,Yes,54245,152,98,0
23,Male,76,1,28,0,1-2 Year,Yes,2630,154,215,0
24,Female,37,1,33,0,1-2 Year,Yes,2630,156,285,0
25,Male,50,1,31,0,1-2 Year,Yes,2630,157,38,1
26,Female,26,1,41,1,< 1 Year,No,28870,152,109,0
27,Female,45,1,34,0,1-2 Year,Yes,40777,124,30,1
28,Female,61,1,28,1,1-2 Year,Yes,39578,26,297,0
29,Female,52,1,28,0,1-2 Year,Yes,37041,37,269,0
30,Female,60,1,21,1,1-2 Year,No,2630,160,125,0
31,Male,78,1,28,0,1-2 Year,Yes,28232,26,180,0
32,Female,46,1,11,1,1-2 Year,No,29516,26,18,0
33,Male,23,1,41,1,< 1 Year,No,30938,152,112,0
34,Female,27,1,28,0,1-2 Year,Yes,36307,124,164,1
35,Female,25,1,28,1,< 1 Year,No,39230,152,278,0
36,Male,49,1,29,0,1-2 Year,Yes,41263,124,279,0
37,Female,35,1,28,0,1-2 Year,Yes,23225,26,187,0
38,Male,57,1,21,0,1-2 Year,No,29822,26,30,0
39,Female,40,1,33,0,1-2 Year,Yes,2630,156,197,0
40,Male,31,1,41,1,< 1 Year,No,30173,152,85,0
41,Female,49,1,46,0,> 2 Years,Yes,2630,11,248,0
42,Female,21,1,28,0,< 1 Year,Yes,38950,152,36,0
43,Male,24,1,41,1,< 1 Year,No,15915,152,247,0
44,Female,72,1,33,0,1-2 Year,Yes,29199,124,109,0
45,Male,62,1,28,0,1-2 Year,Yes,54653,124,61,0
46,Female,24,1,30,0,1-2 Year,No,2630,156,220,1
47,Male,21,1,45,1,< 1 Year,Yes,81556,152,78,0
48,Male,50,1,6,0,1-2 Year,No,23646,124,114,0
49,Male,41,1,0,0,1-2 Year,Yes,2630,124,32,0
50,Male,42,1,8,0,1-2 Year,Yes,36146,26,130,0
51,Male,56,1,33,0,1-2 Year,Yes,28509,26,223,1
52,Male,45,1,46,0,1-2 Year,Yes,2630,124,273,0
53,Female,74,1,3,1,1-2 Year,No,37412,26,218,0
